"tripduration","starttime","stoptime","start.station.id","start.station.name","start.station.latitude","start.station.longitude","end.station.id","end.station.name","end.station.latitude","end.station.longitude","bikeid","usertype","birth.year","gender"
1709,"2020-12-05 23:17:18.4870","2020-12-05 23:45:48.1960",3167,"Amsterdam Ave & W 73 St",40.7796680900731,-73.9809304475784,385,"E 55 St & 2 Ave",40.75797322,-73.96603308,45047,"Subscriber",1976,1
358,"2020-12-15 15:53:03.5280","2020-12-15 15:59:02.4750",3783,"Cliff St & Fulton St",40.70838,-74.00495,3786,"Division St & Bowery",40.714193,-73.996732,36596,"Subscriber",1996,1
516,"2020-12-02 19:31:11.3860","2020-12-02 19:39:47.6380",291,"Madison St & Montgomery St",40.713126,-73.984844,403,"E 2 St & 2 Ave",40.72502876,-73.99069656,27182,"Subscriber",1985,1
581,"2020-12-03 12:43:29.1540","2020-12-03 12:53:10.1940",3641,"Broadway & W 25 St",40.7428687731211,-73.9891862869263,4121,"1 Ave & E 39 St",40.74714,-73.97113,48100,"Subscriber",1975,2
168,"2020-12-01 07:25:45.3420","2020-12-01 07:28:33.7430",3141,"1 Ave & E 68 St",40.76500525,-73.95818491,3725,"2 Ave & E 72 St",40.7687620293096,-73.9584079384804,45603,"Subscriber",1954,2
730,"2020-12-22 11:22:51.7250","2020-12-22 11:35:02.6450",509,"9 Ave & W 22 St",40.7454973,-74.00197139,3233,"E 48 St & 5 Ave",40.7572456791173,-73.978059142828,47815,"Customer",1983,1
364,"2020-12-06 11:57:00.2940","2020-12-06 12:03:05.2920",3848,"Suydam St & Broadway",40.69544,-73.93223,3774,"Knickerbocker Ave & George St",40.704425,-73.92836,42283,"Subscriber",1992,1
782,"2020-12-24 18:08:40.9490","2020-12-24 18:21:42.9510",144,"Nassau St & Navy St",40.69839895,-73.98068914,412,"Forsyth St & Canal St",40.7158155,-73.99422366,31225,"Subscriber",1958,1
878,"2020-12-07 12:55:52.0770","2020-12-07 13:10:30.2450",217,"Old Fulton St",40.70277159,-73.99383605,143,"Clinton St & Joralemon St",40.69239502,-73.99337909,34822,"Customer",1977,1
978,"2020-12-04 09:00:18.0330","2020-12-04 09:16:36.4500",3799,"6 Ave & W 34 St",40.74964,-73.98805,455,"1 Ave & E 44 St",40.75001986,-73.96905301,26691,"Subscriber",1946,1
