State,Medical School,Men,Women,All,Year,,,,,,,,,,,,
AL,Alabama-Heersink,105,81,186,5,,,,,,,,,,,,
AL,South Alabama-Whiddon,40,26,66,5,,,,,,,,,,,,
AR,Arkansas,84,80,164,5,,,,,,,,,,,,
AZ,Arizona,56,61,117,5,,,,,,,,,,,,
AZ,Arizona Phoenix,35,58,93,5,,,,,,,,,,,,
CA,California,-,-,-,5,,,,,,,,,,,,
CA,California Northstate,51,36,87,5,,,,,,,,,,,,
CA,Kaiser Permanente-Tyson,-,-,-,5,,,,,,,,,,,,
CA,Loma Linda,81,62,143,5,,,,,,,,,,,,
CA,Southern Cal-Keck,105,78,183,5,,,,,,,,,,,,
CA,Stanford,43,49,92,5,,,,,,,,,,,,
CA,UC Davis,44,71,115,5,,,,,,,,,,,,
CA,UC Irvine,46,47,93,5,,,,,,,,,,,,
CA,UC Riverside,29,40,69,5,,,,,,,,,,,,
CA,UC San Diego,63,67,130,5,,,,,,,,,,,,
CA,UC San Francisco,81,85,166,5,,,,,,,,,,,,
CA,UCLA-Geffen,76,72,148,5,,,,,,,,,,,,
CO,Colorado,93,79,172,5,,,,,,,,,,,,
CT,Connecticut,51,50,101,5,,,,,,,,,,,,
CT,Quinnipiac-Netter,42,40,82,5,,,,,,,,,,,,
CT,Yale,51,61,112,5,,,,,,,,,,,,
DC,George Washington,76,94,170,5,,,,,,,,,,,,
DC,Georgetown,81,107,188,5,,,,,,,,,,,,
DC,Howard,53,55,108,5,,,,,,,,,,,,
FL,FIU-Wertheim,59,61,120,5,,,,,,,,,,,,
FL,Florida,65,65,130,5,,,,,,,,,,,,
FL,Florida Atlantic-Schmidt,39,25,64,5,,,,,,,,,,,,
FL,Florida State,49,66,115,5,,,,,,,,,,,,
FL,Miami-Miller,82,97,179,5,,,,,,,,,,,,
FL,Nova Southeastern-Patel,-,-,-,5,,,,,,,,,,,,
FL,UCF,60,57,117,5,,,,,,,,,,,,
FL,USF-Morsani,96,80,176,5,,,,,,,,,,,,
GA,Emory,52,89,141,5,,,,,,,,,,,,
GA,MC Georgia Augusta,110,108,218,5,,,,,,,,,,,,
GA,Mercer,66,51,117,5,,,,,,,,,,,,
GA,Morehouse,32,59,91,5,,,,,,,,,,,,
HI,Hawaii-Burns,40,25,65,5,,,,,,,,,,,,
IA,Iowa-Carver,87,69,156,5,,,,,,,,,,,,
IL,Carle Illinois,-,-,-,5,,,,,,,,,,,,
