DAY_OF_MONTH,DAY_OF_WEEK,FL_DATE,CARRIER,ORIGIN,ORIGIN_CITY_NAME,DEST,DEST_CITY_NAME,CRSDepTime,DepartureDelay,DepDelay15,TaxiInTime,ArrivalDelay,CRSDuration,ActualDuration,ActualAirTime,DISTANCE,DepDelayOver15,ArrDelayOver15,DiffActualCRSDiration
1,6,3/1/14,AS,SJC,"San Jose, CA",SEA,"Seattle, WA",1720,32,1,4,30,120,118,105,697,Departure Delay more than 15 min,Arrival Delay more than 15 min,-2
1,6,3/1/14,AS,SFO,"San Francisco, CA",SEA,"Seattle, WA",2100,60,1,4,57,116,113,96,679,Departure Delay more than 15 min,Arrival Delay more than 15 min,-3
1,6,3/1/14,AS,SJC,"San Jose, CA",SEA,"Seattle, WA",1010,15,1,6,12,120,117,103,697,Departure Delay 15 min or less,Arrival Delay 15 min or less,-3
1,6,3/1/14,AS,SFO,"San Francisco, CA",SEA,"Seattle, WA",1255,43,1,4,50,125,132,106,679,Departure Delay more than 15 min,Arrival Delay more than 15 min,7
1,6,3/1/14,AS,SFO,"San Francisco, CA",SEA,"Seattle, WA",1950,-4,0,7,2,117,123,100,679,Departure Delay 15 min or less,Arrival Delay 15 min or less,6
1,6,3/1/14,AS,SFO,"San Francisco, CA",SEA,"Seattle, WA",1730,-7,0,4,-8,118,117,101,679,Departure Delay 15 min or less,Arrival Delay 15 min or less,-1
1,6,3/1/14,AS,SFO,"San Francisco, CA",SEA,"Seattle, WA",915,0,0,6,14,122,136,106,679,Departure Delay 15 min or less,Arrival Delay 15 min or less,14
1,6,3/1/14,AS,SJC,"San Jose, CA",SEA,"Seattle, WA",630,-6,0,4,-15,120,111,97,697,Departure Delay 15 min or less,Arrival Delay 15 min or less,-9
1,6,3/1/14,AS,SJC,"San Jose, CA",SEA,"Seattle, WA",1510,-4,0,4,-1,120,123,105,697,Departure Delay 15 min or less,Arrival Delay 15 min or less,3
1,6,3/1/14,AS,SFO,"San Francisco, CA",SEA,"Seattle, WA",700,-7,0,6,-3,120,124,92,679,Departure Delay 15 min or less,Arrival Delay 15 min or less,4
1,6,3/1/14,AS,OAK,"Oakland, CA",SEA,"Seattle, WA",620,-12,0,5,-14,119,117,97,671,Departure Delay 15 min or less,Arrival Delay 15 min or less,-2
1,6,3/1/14,AS,OAK,"Oakland, CA",SEA,"Seattle, WA",1845,25,1,7,30,114,119,105,671,Departure Delay more than 15 min,Arrival Delay more than 15 min,5
1,6,3/1/14,AS,OAK,"Oakland, CA",SEA,"Seattle, WA",1250,-10,0,6,-10,120,120,99,671,Departure Delay 15 min or less,Arrival Delay 15 min or less,0
1,6,3/1/14,AS,OAK,"Oakland, CA",SEA,"Seattle, WA",955,18,1,7,19,115,116,102,671,Departure Delay more than 15 min,Arrival Delay more than 15 min,1
1,6,3/1/14,OO,SFO,"San Francisco, CA",SEA,"Seattle, WA",910,58,1,6,58,130,130,100,679,Departure Delay more than 15 min,Arrival Delay more than 15 min,0
1,6,3/1/14,OO,SFO,"San Francisco, CA",SEA,"Seattle, WA",1423,69,1,6,80,131,142,108,679,Departure Delay more than 15 min,Arrival Delay more than 15 min,11
1,6,3/1/14,UA,SFO,"San Francisco, CA",SEA,"Seattle, WA",624,-8,0,11,-23,133,118,95,679,Departure Delay 15 min or less,Arrival Delay 15 min or less,-15
1,6,3/1/14,UA,SFO,"San Francisco, CA",SEA,"Seattle, WA",803,-6,0,6,-26,131,111,94,679,Departure Delay 15 min or less,Arrival Delay 15 min or less,-20
1,6,3/1/14,UA,SFO,"San Francisco, CA",SEA,"Seattle, WA",2256,14,0,5,3,123,112,91,679,Departure Delay 15 min or less,Arrival Delay 15 min or less,-11
1,6,3/1/14,UA,SFO,"San Francisco, CA",SEA,"Seattle, WA",1745,19,1,6,18,126,125,103,679,Departure Delay more than 15 min,Arrival Delay more than 15 min,-1
1,6,3/1/14,UA,SFO,"San Francisco, CA",SEA,"Seattle, WA",1105,38,1,5,39,131,132,97,679,Departure Delay more than 15 min,Arrival Delay more than 15 min,1
1,6,3/1/14,UA,SFO,"San Francisco, CA",SEA,"Seattle, WA",1926,-3,0,6,-8,131,126,107,679,Departure Delay 15 min or less,Arrival Delay 15 min or less,-5
1,6,3/1/14,VX,SFO,"San Francisco, CA",SEA,"Seattle, WA",1045,107,1,6,113,120,126,104,679,Departure Delay more than 15 min,Arrival Delay more than 15 min,6
1,6,3/1/14,VX,SFO,"San Francisco, CA",SEA,"Seattle, WA",2005,26,1,7,24,120,118,100,679,Departure Delay more than 15 min,Arrival Delay more than 15 min,-2
1,6,3/1/14,WN,OAK,"Oakland, CA",SEA,"Seattle, WA",905,77,1,6,74,125,122,103,671,Departure Delay more than 15 min,Arrival Delay more than 15 min,-3
1,6,3/1/14,WN,OAK,"Oakland, CA",SEA,"Seattle, WA",1100,40,1,5,38,120,118,104,671,Departure Delay more than 15 min,Arrival Delay more than 15 min,-2
1,6,3/1/14,WN,OAK,"Oakland, CA",SEA,"Seattle, WA",1720,28,1,4,2,130,104,94,671,Departure Delay more than 15 min,Arrival Delay 15 min or less,-26
1,6,3/1/14,WN,SJC,"San Jose, CA",SEA,"Seattle, WA",1440,27,1,4,12,130,115,101,697,Departure Delay more than 15 min,Arrival Delay 15 min or less,-15
2,7,3/2/14,AS,SJC,"San Jose, CA",SEA,"Seattle, WA",1720,-5,0,8,-3,120,122,104,697,Departure Delay 15 min or less,Arrival Delay 15 min or less,2
2,7,3/2/14,AS,SFO,"San Francisco, CA",SEA,"Seattle, WA",2100,-15,0,6,-13,116,118,96,679,Departure Delay 15 min or less,Arrival Delay 15 min or less,2
2,7,3/2/14,AS,SJC,"San Jose, CA",SEA,"Seattle, WA",1010,-7,0,6,-15,120,112,97,697,Departure Delay 15 min or less,Arrival Delay 15 min or less,-8
2,7,3/2/14,AS,SFO,"San Francisco, CA",SEA,"Seattle, WA",1015,-7,0,5,-10,122,119,91,679,Departure Delay 15 min or less,Arrival Delay 15 min or less,-3
2,7,3/2/14,AS,SFO,"San Francisco, CA",SEA,"Seattle, WA",1950,0,0,6,7,117,124,100,679,Departure Delay 15 min or less,Arrival Delay 15 min or less,7
2,7,3/2/14,AS,SFO,"San Francisco, CA",SEA,"Seattle, WA",1730,-14,0,6,-18,118,114,97,679,Departure Delay 15 min or less,Arrival Delay 15 min or less,-4
2,7,3/2/14,AS,SFO,"San Francisco, CA",SEA,"Seattle, WA",1435,-6,0,6,-11,125,120,95,679,Departure Delay 15 min or less,Arrival Delay 15 min or less,-5
2,7,3/2/14,AS,SFO,"San Francisco, CA",SEA,"Seattle, WA",915,-6,0,9,5,122,133,94,679,Departure Delay 15 min or less,Arrival Delay 15 min or less,11
2,7,3/2/14,AS,SJC,"San Jose, CA",SEA,"Seattle, WA",630,-14,0,5,-10,120,124,101,697,Departure Delay 15 min or less,Arrival Delay 15 min or less,4
2,7,3/2/14,AS,SJC,"San Jose, CA",SEA,"Seattle, WA",1510,9,0,9,6,120,117,98,697,Departure Delay 15 min or less,Arrival Delay 15 min or less,-3
2,7,3/2/14,AS,SFO,"San Francisco, CA",SEA,"Seattle, WA",700,-7,0,8,-1,120,126,96,679,Departure Delay 15 min or less,Arrival Delay 15 min or less,6
2,7,3/2/14,AS,OAK,"Oakland, CA",SEA,"Seattle, WA",620,-11,0,8,-16,119,114,96,671,Departure Delay 15 min or less,Arrival Delay 15 min or less,-5
2,7,3/2/14,AS,OAK,"Oakland, CA",SEA,"Seattle, WA",1845,-6,0,7,-6,114,114,99,671,Departure Delay 15 min or less,Arrival Delay 15 min or less,0
2,7,3/2/14,AS,OAK,"Oakland, CA",SEA,"Seattle, WA",1250,-6,0,7,-15,120,111,92,671,Departure Delay 15 min or less,Arrival Delay 15 min or less,-9
2,7,3/2/14,AS,OAK,"Oakland, CA",SEA,"Seattle, WA",955,-11,0,11,-6,115,120,92,671,Departure Delay 15 min or less,Arrival Delay 15 min or less,5
2,7,3/2/14,OO,SFO,"San Francisco, CA",SEA,"Seattle, WA",910,-3,0,6,4,130,137,93,679,Departure Delay 15 min or less,Arrival Delay 15 min or less,7
2,7,3/2/14,OO,SFO,"San Francisco, CA",SEA,"Seattle, WA",1500,81,1,8,82,131,132,99,679,Departure Delay more than 15 min,Arrival Delay more than 15 min,1
2,7,3/2/14,UA,SFO,"San Francisco, CA",SEA,"Seattle, WA",1926,-1,0,7,-13,130,118,96,679,Departure Delay 15 min or less,Arrival Delay 15 min or less,-12
