DAY_OF_MONTH,DAY_OF_WEEK,FL_DATE,CARRIER,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_NM,DEST,DEST_CITY_NAME,DEST_STATE_ABR,CRSDepTime,DepartureDelay,DepDelay15,TaxiInTime,ArrivalDelay,CRSDuration,ActualDuration,ActualAirTime),DISTANCE,DepDelayOver15,ArrDelayOver15
21,5,2/21/14,AS,OAK,"Oakland, CA",California,SEA,"Seattle, WA",WA,1845,-4,0,8,3,114,121,106,671,Departure Delay 15 min or less,Arrival Delay 15 min or less
21,1,4/21/14,WN,OAK,"Oakland, CA",California,SEA,"Seattle, WA",WA,1915,10,0,12,-9,120,101,83,671,Departure Delay 15 min or less,Arrival Delay 15 min or less
22,3,1/22/14,WN,OAK,"Oakland, CA",California,SEA,"Seattle, WA",WA,1405,-3,0,4,0,115,118,107,672,Departure Delay 15 min or less,Arrival Delay 15 min or less
24,4,4/24/14,VX,SFO,"San Francisco, CA",California,SEA,"Seattle, WA",WA,2025,-2,0,10,-11,120,111,89,679,Departure Delay 15 min or less,Arrival Delay 15 min or less
3,4,4/3/14,AS,OAK,"Oakland, CA",California,SEA,"Seattle, WA",WA,1845,12,0,10,16,114,118,91,671,Departure Delay 15 min or less,Arrival Delay more than 15 min
2,3,4/2/14,AS,SFO,"San Francisco, CA",California,SEA,"Seattle, WA",WA,1600,-9,0,5,-7,118,120,100,679,Departure Delay 15 min or less,Arrival Delay 15 min or less
20,7,4/20/14,VX,SFO,"San Francisco, CA",California,SEA,"Seattle, WA",WA,2025,-5,0,4,-14,120,111,93,679,Departure Delay 15 min or less,Arrival Delay 15 min or less
9,7,3/9/14,VX,SFO,"San Francisco, CA",California,SEA,"Seattle, WA",WA,1200,0,0,3,-16,120,104,91,679,Departure Delay 15 min or less,Arrival Delay 15 min or less
3,5,1/3/14,AS,SFO,"San Francisco, CA",California,SEA,"Seattle, WA",WA,915,-10,0,9,-6,125,129,103,679,Departure Delay 15 min or less,Arrival Delay 15 min or less
29,2,4/29/14,AS,SFO,"San Francisco, CA",California,SEA,"Seattle, WA",WA,2100,-1,0,5,-10,116,107,92,679,Departure Delay 15 min or less,Arrival Delay 15 min or less
30,7,3/30/14,VX,SFO,"San Francisco, CA",California,SEA,"Seattle, WA",WA,1605,-6,0,7,-16,125,115,95,679,Departure Delay 15 min or less,Arrival Delay 15 min or less
9,4,1/9/14,AS,SJC,"San Jose, CA",California,SEA,"Seattle, WA",WA,1720,-3,0,4,9,120,132,118,697,Departure Delay 15 min or less,Arrival Delay 15 min or less
30,3,4/30/14,AS,SJC,"San Jose, CA",California,SEA,"Seattle, WA",WA,1845,-7,0,7,-8,120,119,98,697,Departure Delay 15 min or less,Arrival Delay 15 min or less
17,1,2/17/14,WN,OAK,"Oakland, CA",California,SEA,"Seattle, WA",WA,1740,-4,0,4,-7,115,112,102,671,Departure Delay 15 min or less,Arrival Delay 15 min or less
25,5,4/25/14,AS,OAK,"Oakland, CA",California,SEA,"Seattle, WA",WA,620,-4,0,5,-12,119,111,92,671,Departure Delay 15 min or less,Arrival Delay 15 min or less
8,6,3/8/14,AS,OAK,"Oakland, CA",California,SEA,"Seattle, WA",WA,1845,-4,0,9,-8,114,110,91,671,Departure Delay 15 min or less,Arrival Delay 15 min or less
25,2,2/25/14,AS,SJC,"San Jose, CA",California,SEA,"Seattle, WA",WA,1720,-4,0,5,-13,120,111,94,697,Departure Delay 15 min or less,Arrival Delay 15 min or less
14,5,3/14/14,AS,SFO,"San Francisco, CA",California,SEA,"Seattle, WA",WA,2100,-7,0,14,17,113,137,107,679,Departure Delay 15 min or less,Arrival Delay more than 15 min
25,5,4/25/14,AS,SJC,"San Jose, CA",California,SEA,"Seattle, WA",WA,630,-9,0,5,-9,119,119,97,697,Departure Delay 15 min or less,Arrival Delay 15 min or less
8,3,1/8/14,AS,SFO,"San Francisco, CA",California,SEA,"Seattle, WA",WA,1250,24,1,6,24,120,120,98,679,Departure Delay more than 15 min,Arrival Delay more than 15 min
8,2,4/8/14,WN,SJC,"San Jose, CA",California,SEA,"Seattle, WA",WA,1230,-4,0,5,-19,125,110,96,697,Departure Delay 15 min or less,Arrival Delay 15 min or less
5,3,3/5/14,UA,SFO,"San Francisco, CA",California,SEA,"Seattle, WA",WA,630,-8,0,7,-15,133,126,95,679,Departure Delay 15 min or less,Arrival Delay 15 min or less
21,5,2/21/14,AS,SJC,"San Jose, CA",California,SEA,"Seattle, WA",WA,1010,-19,0,7,-12,120,127,105,697,Departure Delay 15 min or less,Arrival Delay 15 min or less
11,2,3/11/14,AS,SJC,"San Jose, CA",California,SEA,"Seattle, WA",WA,1725,-6,0,4,-2,124,128,108,697,Departure Delay 15 min or less,Arrival Delay 15 min or less
26,3,3/26/14,WN,OAK,"Oakland, CA",California,SEA,"Seattle, WA",WA,1555,8,0,5,16,110,118,99,671,Departure Delay 15 min or less,Arrival Delay more than 15 min
8,2,4/8/14,AS,SJC,"San Jose, CA",California,SEA,"Seattle, WA",WA,1540,-8,0,8,-12,119,115,98,697,Departure Delay 15 min or less,Arrival Delay 15 min or less
22,6,3/22/14,AS,SJC,"San Jose, CA",California,SEA,"Seattle, WA",WA,735,-4,0,4,-4,117,117,105,697,Departure Delay 15 min or less,Arrival Delay 15 min or less
13,1,1/13/14,AS,SFO,"San Francisco, CA",California,SEA,"Seattle, WA",WA,1950,-9,0,3,0,120,129,105,679,Departure Delay 15 min or less,Arrival Delay 15 min or less
1,2,4/1/14,AS,SFO,"San Francisco, CA",California,SEA,"Seattle, WA",WA,1005,45,1,6,56,119,130,93,679,Departure Delay more than 15 min,Arrival Delay more than 15 min
14,5,2/14/14,VX,SFO,"San Francisco, CA",California,SEA,"Seattle, WA",WA,1205,0,0,3,-13,120,107,94,679,Departure Delay 15 min or less,Arrival Delay 15 min or less
7,2,1/7/14,WN,SJC,"San Jose, CA",California,SEA,"Seattle, WA",WA,710,-3,0,4,13,125,141,128,697,Departure Delay 15 min or less,Arrival Delay 15 min or less
10,1,2/10/14,UA,SFO,"San Francisco, CA",California,SEA,"Seattle, WA",WA,1053,13,0,4,13,131,131,107,679,Departure Delay 15 min or less,Arrival Delay 15 min or less
12,3,3/12/14,OO,SFO,"San Francisco, CA",California,SEA,"Seattle, WA",WA,1417,47,1,6,31,132,116,96,679,Departure Delay more than 15 min,Arrival Delay more than 15 min
29,6,3/29/14,AS,SJC,"San Jose, CA",California,SEA,"Seattle, WA",WA,1725,-4,0,4,-15,124,113,97,697,Departure Delay 15 min or less,Arrival Delay 15 min or less
14,2,1/14/14,AS,SJC,"San Jose, CA",California,SEA,"Seattle, WA",WA,1845,-7,0,5,-10,125,122,109,697,Departure Delay 15 min or less,Arrival Delay 15 min or less
7,5,2/7/14,WN,OAK,"Oakland, CA",California,SEA,"Seattle, WA",WA,855,4,0,3,-1,120,115,101,671,Departure Delay 15 min or less,Arrival Delay 15 min or less
9,7,3/9/14,AS,OAK,"Oakland, CA",California,SEA,"Seattle, WA",WA,1845,2,0,7,-7,114,105,89,671,Departure Delay 15 min or less,Arrival Delay 15 min or less
25,2,2/25/14,AS,SFO,"San Francisco, CA",California,SEA,"Seattle, WA",WA,1255,41,1,4,24,125,108,89,679,Departure Delay more than 15 min,Arrival Delay more than 15 min
1,3,1/1/14,AS,SFO,"San Francisco, CA",California,SEA,"Seattle, WA",WA,1015,-7,0,5,-12,123,118,100,679,Departure Delay 15 min or less,Arrival Delay 15 min or less
25,2,2/25/14,AS,SFO,"San Francisco, CA",California,SEA,"Seattle, WA",WA,2100,-7,0,5,-8,116,115,89,679,Departure Delay 15 min or less,Arrival Delay 15 min or less
7,5,3/7/14,UA,SFO,"San Francisco, CA",California,SEA,"Seattle, WA",WA,700,-2,0,5,0,133,135,108,679,Departure Delay 15 min or less,Arrival Delay 15 min or less
11,5,4/11/14,WN,SJC,"San Jose, CA",California,SEA,"Seattle, WA",WA,715,0,0,4,-13,125,112,98,697,Departure Delay 15 min or less,Arrival Delay 15 min or less
6,1,1/6/14,UA,SFO,"San Francisco, CA",California,SEA,"Seattle, WA",WA,2100,6,0,7,-8,129,115,95,679,Departure Delay 15 min or less,Arrival Delay 15 min or less
22,2,4/22/14,AS,SFO,"San Francisco, CA",California,SEA,"Seattle, WA",WA,700,-14,0,4,-22,120,112,90,679,Departure Delay 15 min or less,Arrival Delay 15 min or less
2,4,1/2/14,WN,SJC,"San Jose, CA",California,SEA,"Seattle, WA",WA,1935,34,1,6,33,125,124,107,697,Departure Delay more than 15 min,Arrival Delay more than 15 min
