AGEP,SEX,WAGP,ESR,PERNP,PINCP,Major
22,Female,8000,Employed,8000,8000,GENERAL MEDICAL AND HEALTH SERVICES
26,Male,20000,Employed,20000,20000,COMMUNICATIONS
60,Male,85000,Employed,85000,85300,BUSINESS MANAGEMENT AND ADMINISTRATION
54,Female,9600,Employed,9600,9600,ELECTRICAL ENGINEERING
62,Male,0,NotInLaborForce,0,1800,MATHEMATICS
30,Female,190000,Employed,190000,190000,ELECTRICAL ENGINEERING
38,Male,30000,Employed,30000,30000,BUSINESS MANAGEMENT AND ADMINISTRATION
57,Male,0,Employed,19000,19000,FINANCE
73,Male,0,NotInLaborForce,0,7200,FAMILY AND CONSUMER SCIENCES
56,Male,60000,Employed,60000,60000,BUSINESS MANAGEMENT AND ADMINISTRATION
30,Female,6000,Employed,6000,6000,COMMERCIAL ART AND GRAPHIC DESIGN
27,Female,100000,Employed,100000,100000,ACCOUNTING
27,Male,10000,NotInLaborForce,10000,10000,MECHANICAL ENGINEERING
34,Female,50000,Employed,50000,50000,COMMUNICATIONS
30,Male,30000,Employed,30000,30000,DRAMA AND THEATER ARTS
43,Male,200000,Employed,200000,200000,MOLECULAR BIOLOGY
47,Female,115000,Employed,115000,115000,COMPUTER AND INFORMATION SYSTEMS
82,Male,0,NotInLaborForce,7400,29400,BUSINESS MANAGEMENT AND ADMINISTRATION
48,Male,500,Employed,500,500,SOCIAL SCIENCE OR HISTORY TEACHER EDUCATION
26,Female,42000,Employed,42000,44000,HOSPITALITY MANAGEMENT
30,Female,50000,Employed,50000,50000,MULTI-DISCIPLINARY OR GENERAL SCIENCE
38,Female,0,UnEmployed,0,0,MULTI-DISCIPLINARY OR GENERAL SCIENCE
35,Female,59000,Employed,59000,59000,LIBERAL ARTS
73,Female,4000,NotInLaborForce,4000,38400,NURSING
48,Male,80000,Employed,80000,80000,ELECTRICAL ENGINEERING TECHNOLOGY
64,Female,90000,Employed,90000,90000,GENERAL BUSINESS
47,Female,0,NotInLaborForce,0,0,ACCOUNTING
69,Female,16000,NotInLaborForce,16000,41100,NURSING
55,Female,0,Employed,3200,3200,JOURNALISM
54,Female,68000,Employed,68000,68480,NATURAL RESOURCES MANAGEMENT
45,Male,0,Employed,50000,50020,AREA ETHNIC AND CIVILIZATION STUDIES
47,Female,77000,Employed,77000,77000,LIBERAL ARTS
47,Female,70000,Employed,70000,70000,JOURNALISM
50,Female,110000,Employed,110000,110000,COMMERCIAL ART AND GRAPHIC DESIGN
63,Male,60000,Employed,60000,60000,ENGINEERING TECHNOLOGIES
56,Female,54000,Employed,54000,54000,SECONDARY TEACHER EDUCATION
55,Male,0,NotInLaborForce,0,28300,MECHANICAL ENGINEERING
29,Female,90000,Employed,90000,90000,ADVERTISING AND PUBLIC RELATIONS
56,Female,7200,Employed,7200,7200,BUSINESS MANAGEMENT AND ADMINISTRATION
32,Female,0,Employed,6100,9000,COMPUTER SCIENCE
32,Female,40800,Employed,40800,40800,FRENCH GERMAN LATIN AND OTHER COMMON FOREIGN LANGUAGE STUDIES
47,Male,100000,Employed,100000,100020,BUSINESS ECONOMICS
43,Male,52000,Employed,52000,52000,BUSINESS MANAGEMENT AND ADMINISTRATION
27,Female,60000,Employed,60000,60000,COMMUNICATIONS
32,Female,5000,NotInLaborForce,5000,5000,PSYCHOLOGY
45,Female,55000,Employed,55000,55000,FAMILY AND CONSUMER SCIENCES
30,Female,35000,Employed,35000,35000,ARCHITECTURAL ENGINEERING
25,Female,70000,Employed,70000,70000,GENERAL BUSINESS
23,Female,34300,Employed,34300,34300,LIBERAL ARTS
47,Female,0,NotInLaborForce,0,0,MASS MEDIA
50,Male,150000,Employed,150000,160000,FINE ARTS
27,Female,70000,Employed,170000,172000,FINANCE
57,Male,43400,Employed,43400,43400,COMPUTER SCIENCE
77,Male,0,NotInLaborForce,0,24300,ACCOUNTING
33,Female,90000,Employed,90000,90000,GENERAL ENGINEERING
57,Female,97000,Employed,97000,97000,AREA ETHNIC AND CIVILIZATION STUDIES
33,Male,0,NotInLaborForce,0,0,FINANCE
82,Male,0,NotInLaborForce,0,33700,ELEMENTARY EDUCATION
51,Male,0,Employed,16000,16000,GENERAL BUSINESS
60,Female,85000,Employed,85000,107200,PHYSIOLOGY
25,Male,40000,Employed,40000,40000,COMPUTER SCIENCE
63,Male,0,NotInLaborForce,0,10600,JOURNALISM
85,Female,0,NotInLaborForce,0,15600,HISTORY
45,Male,70000,Employed,70000,70000,BUSINESS MANAGEMENT AND ADMINISTRATION
27,Male,0,Employed,29000,29000,ENGLISH LANGUAGE AND LITERATURE
37,Male,80000,Employed,80000,80000,CHEMICAL ENGINEERING
62,Male,0,NotInLaborForce,40000,68200,SOCIOLOGY
85,Male,0,NotInLaborForce,0,41200,ECONOMICS
52,Female,78000,Employed,78000,78000,ENGLISH LANGUAGE AND LITERATURE
54,Female,50000,Employed,50000,50000,GENERAL BUSINESS
57,Male,112000,Employed,112000,114000,ELECTRICAL ENGINEERING
63,Female,0,NotInLaborForce,0,2400,PSYCHOLOGY
26,Male,200000,Employed,200000,200000,GENERAL ENGINEERING
51,Female,125000,Employed,125000,129000,ACCOUNTING
60,Female,83000,Employed,83000,83000,GENERAL EDUCATION
41,Female,0,NotInLaborForce,0,0,COMMERCIAL ART AND GRAPHIC DESIGN
61,Female,2000,NotInLaborForce,2000,2000,MARKETING AND MARKETING RESEARCH
29,Male,51000,Employed,51000,51000,MASS MEDIA
48,Male,13200,Employed,13200,14700,MECHANICAL ENGINEERING
53,Male,30000,Employed,30000,30000,ZOOLOGY
88,Female,0,NotInLaborForce,0,56400,COMMUNICATIONS
30,Female,0,NotInLaborForce,0,0,PHYSICAL FITNESS PARKS RECREATION AND LEISURE
72,Female,0,NotInLaborForce,0,37000,COMMUNICATIONS
38,Female,70000,Employed,70000,70000,ECONOMICS
38,Male,160000,Employed,160000,160000,POLITICAL SCIENCE AND GOVERNMENT
44,Male,150000,Employed,150000,150000,COMMUNICATIONS
27,Female,30000,Employed,30000,30390,GENETICS
29,Female,100000,Employed,100000,100100,ECONOMICS
25,Male,12400,Employed,12400,12400,FRENCH GERMAN LATIN AND OTHER COMMON FOREIGN LANGUAGE STUDIES
30,Female,15000,Employed,15000,15000,PHILOSOPHY AND RELIGIOUS STUDIES
31,Female,8000,Employed,8000,8000,HUMANITIES
77,Male,0,NotInLaborForce,0,22000,BUSINESS MANAGEMENT AND ADMINISTRATION
52,Male,155000,Employed,155000,157000,CHEMISTRY
58,Female,144000,Employed,144000,144000,PSYCHOLOGY
39,Male,47000,Employed,47000,47000,BIOLOGY
94,Male,0,NotInLaborForce,0,18100,MECHANICAL ENGINEERING
30,Male,0,NotInLaborForce,0,0,CHEMISTRY
58,Male,0,NotInLaborForce,0,64240,COMPUTER SCIENCE
66,Male,0,NotInLaborForce,0,0,BUSINESS MANAGEMENT AND ADMINISTRATION
32,Female,45000,Employed,45000,46000,PSYCHOLOGY
77,Male,0,NotInLaborForce,0,20800,GENERAL ENGINEERING
41,Female,63000,Employed,63000,63000,MICROBIOLOGY
51,Male,12000,UnEmployed,12000,12000,CRIMINAL JUSTICE AND FIRE PROTECTION
63,Male,100000,Employed,100000,100000,NURSING
59,Female,67000,Employed,67000,91000,MANAGEMENT INFORMATION SYSTEMS AND STATISTICS
84,Female,0,NotInLaborForce,0,11890,PHARMACY PHARMACEUTICAL SCIENCES AND ADMINISTRATION
24,Female,45000,Employed,45000,45000,CHEMISTRY
57,Female,40000,Employed,40000,40000,ACCOUNTING
65,Female,45000,Employed,45000,45000,ELEMENTARY EDUCATION
26,Female,45000,Employed,45000,45000,SOCIOLOGY
57,Female,0,Employed,12000,12000,FINE ARTS
25,Male,165000,Employed,165000,165000,FINE ARTS
33,Female,18000,Employed,18000,18000,BIOCHEMICAL SCIENCES
64,Female,10000,Employed,10000,23000,BUSINESS MANAGEMENT AND ADMINISTRATION
53,Male,0,UnEmployed,0,0,COMMUNICATIONS
44,Male,160000,Employed,160000,160000,COMPUTER ENGINEERING
45,Female,59000,Employed,59000,59000,FRENCH GERMAN LATIN AND OTHER COMMON FOREIGN LANGUAGE STUDIES
54,Female,54000,Employed,54000,54000,LIBERAL ARTS
39,Male,39000,Employed,39000,39000,COMMERCIAL ART AND GRAPHIC DESIGN
73,Male,0,NotInLaborForce,0,78900,AEROSPACE ENGINEERING
39,Female,40000,Employed,40000,49500,ENGLISH LANGUAGE AND LITERATURE
45,Male,0,Employed,349000,349020,MISCELLANEOUS BUSINESS & MEDICAL ADMINISTRATION
45,Female,70000,Employed,70000,70000,INTERNATIONAL BUSINESS
48,Female,106000,Employed,106000,106000,BUSINESS MANAGEMENT AND ADMINISTRATION
38,Female,12000,Employed,12000,12000,AGRICULTURE PRODUCTION AND MANAGEMENT
32,Male,70000,Employed,70000,70000,CIVIL ENGINEERING
22,Female,0,NotInLaborForce,0,0,PHYSIOLOGY
49,Female,14900,NotInLaborForce,14900,14900,GENERAL SOCIAL SCIENCES
66,Male,120000,Employed,120000,120000,HISTORY
28,Female,23000,Employed,23000,23000,ENGLISH LANGUAGE AND LITERATURE
45,Female,62000,Employed,62000,62000,MARKETING AND MARKETING RESEARCH
48,Male,16100,NotInLaborForce,16100,16100,TRANSPORTATION SCIENCES AND TECHNOLOGIES
30,Female,38000,Employed,38000,38000,BUSINESS MANAGEMENT AND ADMINISTRATION
53,Female,0,Employed,2400,2400,FINANCE
22,Female,26000,Employed,26000,26000,COMMUNICATIONS
32,Female,135000,Employed,135000,135000,PSYCHOLOGY
74,Male,0,NotInLaborForce,0,24000,MUSIC
57,Male,250000,Employed,250000,250000,BUSINESS MANAGEMENT AND ADMINISTRATION
34,Female,40000,Employed,40000,40000,GENERAL EDUCATION
40,Male,180000,Employed,180000,180000,ECONOMICS
26,Female,40000,Employed,40000,40000,POLITICAL SCIENCE AND GOVERNMENT
50,Male,121000,Employed,121000,121000,CHEMISTRY
23,Male,5000,Employed,5000,5000,FINANCE
57,Female,35000,Employed,35000,35000,AREA ETHNIC AND CIVILIZATION STUDIES
25,Female,24000,Employed,24000,24000,GEOLOGICAL AND GEOPHYSICAL ENGINEERING
33,Female,0,NotInLaborForce,0,0,INTERNATIONAL BUSINESS
35,Male,50000,Employed,50000,50000,MUSIC
37,Female,2000,Employed,2000,2000,GENERAL EDUCATION
48,Female,130000,Employed,130000,130000,NURSING
26,Female,65000,Employed,65000,65000,BUSINESS MANAGEMENT AND ADMINISTRATION
49,Female,90000,Employed,90000,90000,MUSIC
67,Male,0,Employed,45000,45000,ANIMAL SCIENCES
62,Male,112000,Employed,112000,140000,MECHANICAL ENGINEERING
34,Female,43000,Employed,43000,43000,ELEMENTARY EDUCATION
60,Female,45000,Employed,57000,57000,BUSINESS MANAGEMENT AND ADMINISTRATION
49,Female,62000,Employed,62000,62000,BUSINESS MANAGEMENT AND ADMINISTRATION
29,Female,0,NotInLaborForce,0,0,ELECTRICAL ENGINEERING
27,Female,16800,Employed,16800,16800,FAMILY AND CONSUMER SCIENCES
66,Female,75000,Employed,75000,75000,ECOLOGY
76,Male,0,NotInLaborForce,0,19700,ELECTRICAL ENGINEERING
60,Female,72000,Employed,72000,89900,PSYCHOLOGY
37,Male,27000,Employed,27000,27000,BUSINESS MANAGEMENT AND ADMINISTRATION
53,Male,92000,Employed,92000,93600,TRANSPORTATION SCIENCES AND TECHNOLOGIES
66,Female,0,NotInLaborForce,0,0,MUSIC
69,Male,0,NotInLaborForce,0,35400,SECONDARY TEACHER EDUCATION
27,Male,15000,Employed,15000,15000,PRE-LAW AND LEGAL STUDIES
56,Male,86000,Employed,86000,86000,COMPUTER SCIENCE
59,Female,81000,Employed,81000,81000,ELEMENTARY EDUCATION
26,Female,29000,Employed,29000,29000,TRANSPORTATION SCIENCES AND TECHNOLOGIES
44,Male,15600,Employed,15600,15600,HOSPITALITY MANAGEMENT
60,Female,52000,Employed,52000,52000,ECONOMICS
66,Female,0,NotInLaborForce,0,0,SECONDARY TEACHER EDUCATION
54,Male,0,NotInLaborForce,0,7500,BUSINESS MANAGEMENT AND ADMINISTRATION
33,Female,40000,Employed,40000,40000,NURSING
30,Male,0,UnEmployed,0,5000,POLITICAL SCIENCE AND GOVERNMENT
33,Female,0,NotInLaborForce,0,0,COMMUNICATION TECHNOLOGIES
66,Female,0,NotInLaborForce,0,0,GENERAL SOCIAL SCIENCES
45,Female,88000,Employed,88000,88000,COMMUNITY AND PUBLIC HEALTH
31,Male,120000,Employed,120000,120000,ECONOMICS
78,Female,0,NotInLaborForce,0,9600,GENERAL BUSINESS
63,Male,0,NotInLaborForce,0,6900,MUSIC
61,Female,35000,Employed,40000,40000,PHYSICAL AND HEALTH EDUCATION TEACHING
57,Female,100000,Employed,100000,100000,JOURNALISM
49,Male,15000,Employed,20000,20000,ARCHITECTURE
84,Male,0,Employed,40700,75800,BUSINESS MANAGEMENT AND ADMINISTRATION
36,Female,0,NotInLaborForce,0,0,ARCHITECTURE
29,Male,78000,Employed,78000,80500,FINE ARTS
75,Male,0,NotInLaborForce,0,9601,ACCOUNTING
24,Male,20000,Employed,20000,20000,COMMUNITY AND PUBLIC HEALTH
70,Male,0,NotInLaborForce,0,15500,ELECTRICAL ENGINEERING
42,Female,0,NotInLaborForce,0,4300,POLITICAL SCIENCE AND GOVERNMENT
31,Female,70000,Employed,70000,70000,HISTORY
52,Male,28000,Employed,28000,58000,COMMUNICATIONS
24,Male,0,Employed,5000,5000,BIOCHEMICAL SCIENCES
32,Female,53000,Employed,53000,53450,INTERCULTURAL AND INTERNATIONAL STUDIES
54,Male,270000,Employed,270000,270500,ECONOMICS
65,Female,0,NotInLaborForce,0,72000,POLITICAL SCIENCE AND GOVERNMENT
69,Male,0,NotInLaborForce,0,33700,BUSINESS MANAGEMENT AND ADMINISTRATION
38,Male,60000,Employed,60000,60000,TREATMENT THERAPY PROFESSIONS
47,Female,0,NotInLaborForce,0,1100,MISCELLANEOUS PSYCHOLOGY
45,Female,131000,Employed,131000,139980,BUSINESS MANAGEMENT AND ADMINISTRATION
79,Male,100000,Employed,100000,130700,NAVAL ARCHITECTURE AND MARINE ENGINEERING
79,Female,0,NotInLaborForce,0,16100,BIOLOGY
39,Female,20000,Employed,20000,20000,BUSINESS MANAGEMENT AND ADMINISTRATION
46,Male,100000,Employed,100000,100000,DRAMA AND THEATER ARTS
39,Female,0,NotInLaborForce,0,16800,ACCOUNTING
94,Female,0,NotInLaborForce,0,11500,MUSIC
30,Male,0,UnEmployed,0,0,ENGLISH LANGUAGE AND LITERATURE
48,Female,0,NotInLaborForce,0,80,NATURAL RESOURCES MANAGEMENT
27,Male,42000,Employed,42000,43200,POLITICAL SCIENCE AND GOVERNMENT
39,Female,40000,Employed,40000,40000,MECHANICAL ENGINEERING
73,Male,0,NotInLaborForce,0,8000,HISTORY
42,Male,50000,Employed,50000,80000,DRAMA AND THEATER ARTS
34,Female,65000,Employed,65000,65000,MASS MEDIA
30,Male,13000,Employed,13000,16600,AREA ETHNIC AND CIVILIZATION STUDIES
22,Female,16800,NotInLaborForce,16800,16800,GENERAL SOCIAL SCIENCES
54,Female,0,Employed,22600,22600,HUMAN SERVICES AND COMMUNITY ORGANIZATION
54,Female,0,Employed,19400,19400,ECONOMICS
31,Female,10000,Employed,110000,110000,BUSINESS MANAGEMENT AND ADMINISTRATION
30,Male,90000,Employed,90000,90000,COMMERCIAL ART AND GRAPHIC DESIGN
27,Male,27400,Employed,27400,27400,SOCIOLOGY
57,Female,0,Employed,349000,349000,ENGLISH LANGUAGE AND LITERATURE
47,Female,15000,Employed,15000,15100,MARKETING AND MARKETING RESEARCH
37,Male,45000,Employed,45000,45000,CIVIL ENGINEERING
75,Female,0,NotInLaborForce,0,10700,GENERAL BUSINESS
64,Female,0,NotInLaborForce,0,57200,GENERAL EDUCATION
76,Male,0,NotInLaborForce,0,23000,HUMAN RESOURCES AND PERSONNEL MANAGEMENT
22,Male,26000,Employed,26000,26000,BUSINESS MANAGEMENT AND ADMINISTRATION
40,Male,120000,Employed,120000,114600,ENGLISH LANGUAGE AND LITERATURE
78,Male,0,NotInLaborForce,0,62340,BUSINESS MANAGEMENT AND ADMINISTRATION
62,Male,36500,Employed,36500,36500,GENERAL SOCIAL SCIENCES
37,Female,12000,Employed,12000,12000,MANAGEMENT INFORMATION SYSTEMS AND STATISTICS
55,Female,0,NotInLaborForce,0,0,GENERAL SOCIAL SCIENCES
48,Female,0,NotInLaborForce,0,4,COMMUNICATIONS
47,Male,80000,Employed,80000,80000,PHYSICAL FITNESS PARKS RECREATION AND LEISURE
39,Female,80000,Employed,80000,80000,HUMAN RESOURCES AND PERSONNEL MANAGEMENT
62,Female,7000,Employed,7600,28700,ACCOUNTING
59,Female,0,NotInLaborForce,0,28000,HUMAN SERVICES AND COMMUNITY ORGANIZATION
69,Female,0,NotInLaborForce,0,66000,SOCIOLOGY
45,Female,15000,Employed,15000,15000,FAMILY AND CONSUMER SCIENCES
77,Male,0,NotInLaborForce,0,196300,POLITICAL SCIENCE AND GOVERNMENT
48,Female,98000,Employed,98000,98150,BUSINESS MANAGEMENT AND ADMINISTRATION
27,Male,27000,Employed,27000,27000,PSYCHOLOGY
67,Male,0,NotInLaborForce,0,50600,PHARMACY PHARMACEUTICAL SCIENCES AND ADMINISTRATION
67,Female,47500,Employed,47500,47500,MULTI-DISCIPLINARY OR GENERAL SCIENCE
33,Male,24000,Employed,24000,24000,GENERAL BUSINESS
63,Female,0,NotInLaborForce,0,0,GENERAL EDUCATION
